"","rules","support","confidence","lift"
"1","{Seasons=0.33,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"2","{Seasons=0.33,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"3","{Seasons=0.33,Accident/trauma=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"4","{Seasons=0.33,Age=30-36,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"5","{Seasons=0.33,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"6","{Seasons=0.33,Accident/trauma=0,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"7","{Seasons=0.33,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"8","{Seasons=0.33,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"9","{Seasons=0.33,Childish disease=1,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"10","{Seasons=1,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"11","{Seasons=1,Surgeries=1,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"12","{Seasons=1,fevers in past year=-1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"13","{Seasons=1,Accident/trauma=0,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"14","{Accident/trauma=0,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"15","{fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"16","{Childish disease=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"17","{Seasons=1,Childish disease=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"18","{Childish disease=0,Accident/trauma=0,alcohol consumption=0.6} => {diagnosis=O}",0.02,1,8.33333333333333
"19","{Seasons=-1,Childish disease=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"20","{Childish disease=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"21","{Seasons=-1,Childish disease=0,Accident/trauma=0} => {diagnosis=O}",0.01,1,8.33333333333333
"22","{Seasons=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.02,1,8.33333333333333
"23","{Seasons=1,Accident/trauma=1,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"24","{Seasons=1,Age=30-36,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"25","{Seasons=1,fevers in past year=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"26","{Seasons=0.33,Age=30-36,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"27","{Seasons=0.33,Surgeries=1,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"28","{Seasons=0.33,Accident/trauma=0,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"29","{Seasons=0.33,Surgeries=1,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"30","{Seasons=0.33,Surgeries=1,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
